# timestamp tx ty tz qx qy qz qw
1760656481.593102 120.599123 -122.336456 0.000000 0.000000 0.000000 0.973117 0.230311
1760656481.859752 120.275546 -122.083479 0.000000 0.000000 0.000000 0.974629 0.223827
1760656482.059755 120.274320 -122.082590 0.000000 0.000000 0.000000 0.975576 0.219664
1760656482.259755 119.937691 -121.793502 0.000000 0.000000 0.000000 0.975990 0.217814
1760656482.459755 119.600367 -121.515826 0.000000 0.000000 0.000000 0.976848 0.213933
1760656482.659756 119.262252 -121.247764 0.000000 0.000000 0.000000 0.977930 0.208935
1760656482.893090 118.920485 -120.989974 0.000000 0.000000 0.000000 0.979261 0.202604
1760656483.159747 118.567947 -120.744232 0.000000 0.000000 0.000000 0.980748 0.195277
1760656483.359756 118.566657 -120.743368 0.000000 0.000000 0.000000 0.981620 0.190848
1760656483.559756 118.215739 -120.457036 0.000000 0.000000 0.000000 0.981643 0.190726
1760656483.793091 117.865450 -120.181163 0.000000 0.000000 0.000000 0.982068 0.188527
1760656484.026431 117.506806 -119.922826 0.000000 0.000000 0.000000 0.982642 0.185511
1760656484.263293 117.138713 -119.685776 0.000000 0.000000 0.000000 0.983377 0.181574
1760656484.495512 116.775077 -119.439037 0.000000 0.000000 0.000000 0.983713 0.179747
1760656484.760497 116.402092 -119.208406 0.000000 0.000000 0.000000 0.984201 0.177052
1760656484.993080 116.018419 -119.015633 0.000000 0.000000 0.000000 0.984887 0.173197
1760656485.193091 116.017104 -119.014899 0.000000 0.000000 0.000000 0.985426 0.170106
1760656485.426435 115.634909 -118.782008 0.000000 0.000000 0.000000 0.984654 0.174520
1760656485.659754 115.306722 -118.532463 0.000000 0.000000 0.000000 0.983371 0.181605
1760656485.859759 114.984769 -118.273170 0.000000 0.000000 0.000000 0.982269 0.187476
1760656486.095508 114.654188 -118.033396 0.000000 0.000000 0.000000 0.981521 0.191352
1760656486.359752 114.314982 -117.796529 0.000000 0.000000 0.000000 0.980920 0.194412
1760656486.626423 113.964493 -117.559120 0.000000 0.000000 0.000000 0.980417 0.196934
1760656486.859761 113.601663 -117.325828 0.000000 0.000000 0.000000 0.980126 0.198374
1760656487.126419 113.231468 -117.099601 0.000000 0.000000 0.000000 0.979901 0.199485
1760656487.326430 113.230056 -117.098644 0.000000 0.000000 0.000000 0.979741 0.200271
1760656487.559732 112.824122 -116.862665 0.000000 0.000000 0.000000 0.979721 0.200369
1760656487.759756 112.419745 -116.632870 0.000000 0.000000 0.000000 0.979638 0.200770
1760656487.959757 112.017415 -116.424098 0.000000 0.000000 0.000000 0.979747 0.200242
1760656488.193091 111.622763 -116.213006 0.000000 0.000000 0.000000 0.979601 0.200951
1760656488.426435 111.222694 -116.010899 0.000000 0.000000 0.000000 0.979426 0.201802
1760656488.626445 111.221376 -116.010174 0.000000 0.000000 0.000000 0.979307 0.202383
1760656488.859757 110.790193 -115.799801 0.000000 0.000000 0.000000 0.979005 0.203836
1760656489.093106 110.360516 -115.597715 0.000000 0.000000 0.000000 0.978508 0.206208
1760656489.326430 109.979032 -115.418298 0.000000 0.000000 0.000000 0.978157 0.207865
1760656489.559755 109.615437 -115.237728 0.000000 0.000000 0.000000 0.977243 0.212124
1760656489.762661 109.298362 -115.032881 0.000000 0.000000 0.000000 0.975725 0.218999
1760656490.026417 108.971896 -114.835914 0.000000 0.000000 0.000000 0.974277 0.225354
1760656490.259751 108.674785 -114.656662 0.000000 0.000000 0.000000 0.973248 0.229759
1760656490.526441 108.389003 -114.465970 0.000000 0.000000 0.000000 0.971842 0.235634
1760656490.726441 108.387791 -114.465158 0.000000 0.000000 0.000000 0.971149 0.238472
1760656490.959756 108.065143 -114.258247 0.000000 0.000000 0.000000 0.970113 0.242653
1760656491.159774 107.739702 -114.044240 0.000000 0.000000 0.000000 0.969327 0.245776
1760656491.393092 107.454195 -113.856494 0.000000 0.000000 0.000000 0.968692 0.248267
1760656491.626446 107.199220 -113.688831 0.000000 0.000000 0.000000 0.968304 0.249775
1760656491.893092 106.926313 -113.520376 0.000000 0.000000 0.000000 0.967740 0.251950
1760656492.126425 106.925069 -113.519522 0.000000 0.000000 0.000000 0.966983 0.254842
1760656492.326439 106.608902 -113.340889 0.000000 0.000000 0.000000 0.967032 0.254654
1760656492.559758 106.289227 -113.160394 0.000000 0.000000 0.000000 0.966534 0.256540
1760656492.795457 105.962626 -112.977153 0.000000 0.000000 0.000000 0.965783 0.259350
1760656493.026443 105.961526 -112.976478 0.000000 0.000000 0.000000 0.965115 0.261825
1760656493.259762 105.604516 -112.773923 0.000000 0.000000 0.000000 0.964444 0.264287
1760656493.459776 105.247939 -112.569385 0.000000 0.000000 0.000000 0.963783 0.266689
1760656493.661221 104.895920 -112.364004 0.000000 0.000000 0.000000 0.963012 0.269460
1760656493.929500 104.546739 -112.155629 0.000000 0.000000 0.000000 0.962200 0.272346
1760656494.159756 104.189325 -111.942446 0.000000 0.000000 0.000000 0.961854 0.273565
1760656494.359756 104.188245 -111.941773 0.000000 0.000000 0.000000 0.961263 0.275633
1760656494.560506 103.806591 -111.709772 0.000000 0.000000 0.000000 0.961565 0.274577
1760656494.793089 103.429967 -111.482686 0.000000 0.000000 0.000000 0.961818 0.273690
1760656495.026422 103.051519 -111.260114 0.000000 0.000000 0.000000 0.962172 0.272444
1760656495.259755 102.675925 -111.031982 0.000000 0.000000 0.000000 0.962352 0.271805
1760656495.493114 102.297794 -110.805187 0.000000 0.000000 0.000000 0.962680 0.270642
1760656495.759749 101.920421 -110.573131 0.000000 0.000000 0.000000 0.962963 0.269634
1760656495.959763 101.919023 -110.572287 0.000000 0.000000 0.000000 0.962853 0.270026
1760656496.193094 101.510025 -110.322053 0.000000 0.000000 0.000000 0.963394 0.268088
1760656496.426431 101.103442 -110.078518 0.000000 0.000000 0.000000 0.963860 0.266408
1760656496.660596 100.700040 -109.839208 0.000000 0.000000 0.000000 0.963996 0.265918
1760656496.863515 100.298935 -109.602032 0.000000 0.000000 0.000000 0.963763 0.266759
1760656497.093085 99.903696 -109.367388 0.000000 0.000000 0.000000 0.963169 0.268898
1760656497.326423 99.506568 -109.136464 0.000000 0.000000 0.000000 0.962246 0.272182
1760656497.526428 99.505210 -109.135644 0.000000 0.000000 0.000000 0.962080 0.272766
1760656497.759755 99.079527 -108.890966 0.000000 0.000000 0.000000 0.960849 0.277071
1760656497.959758 98.660237 -108.646962 0.000000 0.000000 0.000000 0.959688 0.281067
1760656498.193098 98.275995 -108.388696 0.000000 0.000000 0.000000 0.957532 0.288326
1760656498.426423 97.891498 -108.132287 0.000000 0.000000 0.000000 0.955561 0.294793
1760656498.661147 97.508333 -107.873764 0.000000 0.000000 0.000000 0.953893 0.300148
1760656498.929488 97.120917 -107.620740 0.000000 0.000000 0.000000 0.952384 0.304900
1760656499.193092 96.727106 -107.365325 0.000000 0.000000 0.000000 0.951126 0.308803
1760656499.459754 96.329707 -107.106486 0.000000 0.000000 0.000000 0.949994 0.312268
1760656499.659775 96.328205 -107.105415 0.000000 0.000000 0.000000 0.949062 0.315089
1760656499.893093 95.901526 -106.827451 0.000000 0.000000 0.000000 0.948811 0.315843
1760656500.126424 95.481420 -106.555823 0.000000 0.000000 0.000000 0.948557 0.316605
1760656500.359763 95.074347 -106.349386 0.000000 0.000000 0.000000 0.949919 0.312495
1760656500.593093 94.672068 -106.138283 0.000000 0.000000 0.000000 0.950895 0.309513
1760656500.793093 94.270417 -105.927445 0.000000 0.000000 0.000000 0.951760 0.306843
1760656501.059749 93.872743 -105.718421 0.000000 0.000000 0.000000 0.952351 0.305004
1760656501.259768 93.871182 -105.717583 0.000000 0.000000 0.000000 0.952256 0.305302
1760656501.493927 93.443631 -105.486892 0.000000 0.000000 0.000000 0.952802 0.303593
1760656501.726421 93.028353 -105.248456 0.000000 0.000000 0.000000 0.952914 0.303239
1760656501.959756 92.617382 -105.012973 0.000000 0.000000 0.000000 0.953004 0.302958
1760656502.193088 92.215212 -104.770955 0.000000 0.000000 0.000000 0.952776 0.303675
1760656502.459750 91.823334 -104.519123 0.000000 0.000000 0.000000 0.952364 0.304964
1760656502.659756 91.821868 -104.518242 0.000000 0.000000 0.000000 0.952299 0.305166
1760656502.893094 91.400335 -104.248880 0.000000 0.000000 0.000000 0.952154 0.305619
1760656503.093108 90.986309 -103.983794 0.000000 0.000000 0.000000 0.952269 0.305261
1760656503.295491 90.575217 -103.754740 0.000000 0.000000 0.000000 0.953266 0.302134
1760656503.559762 90.188836 -103.511117 0.000000 0.000000 0.000000 0.953695 0.300774
1760656503.826414 89.837225 -103.242865 0.000000 0.000000 0.000000 0.953532 0.301291
1760656504.026444 89.835850 -103.241965 0.000000 0.000000 0.000000 0.953608 0.301052
1760656504.259754 89.454234 -102.954957 0.000000 0.000000 0.000000 0.953928 0.300034
1760656504.459761 89.076820 -102.672254 0.000000 0.000000 0.000000 0.954617 0.297836
1760656504.693082 88.706956 -102.396132 0.000000 0.000000 0.000000 0.955573 0.294755
1760656504.893091 88.705824 -102.395331 0.000000 0.000000 0.000000 0.955827 0.293928
1760656505.126445 88.312785 -102.104302 0.000000 0.000000 0.000000 0.956925 0.290336
1760656505.359756 87.924282 -101.820700 0.000000 0.000000 0.000000 0.958051 0.286599
1760656505.593094 87.537783 -101.545972 0.000000 0.000000 0.000000 0.959356 0.282199
1760656505.827520 87.195711 -101.256411 0.000000 0.000000 0.000000 0.959551 0.281533
1760656506.059751 86.856474 -100.964112 0.000000 0.000000 0.000000 0.959570 0.281469
